片名,导演演员信息,发行日期,国家/地区,评分,评论
雨人,导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman...,1988 , 美国 ,8.6,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
东邪西毒,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...,1994 , 香港 台湾 ,8.6,电影诗。
记忆碎片,导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/...,2000 , 美国 ,8.5,一个针管引发的血案。
喜宴,导演:李安   主演:赵文瑄/归亚蕾/金素梅,1993 , 台湾 美国 ,8.8,中国家庭的喜怒哀乐忍。
怪兽电力公司,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约...,2001 , 美国 ,8.6,不要给它起名字，起了名字就有感情了。
燃情岁月,导演:爱德华·兹威克EdwardZwick   主演:安东尼·霍普金斯AnthonyHopki...,1994 , 美国 ,8.7,传奇，不是每个人都可以拥有。
疯狂原始人,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...,2013 , 美国 ,8.7,老少皆宜，这就是好莱坞动画的魅力。
虎口脱险,导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...,1966 , 法国 英国 ,8.9,永远看不腻的喜剧。
黑天鹅,导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie...,2010 , 美国 ,8.5,黑暗之美。
卢旺达饭店,导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...,2004 , 英国 南非 意大利 美国 ,8.8,当这个世界闭上双眼，他却敞开了怀抱。
英雄本色,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国...,1986 , 香港 ,8.6,英雄泪短，兄弟情长。 
恋恋笔记本,导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/...,2004 , 美国 ,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
猜火车,导演:丹尼·博伊尔DannyBoyle   主演:伊万·麦克格雷格EwanMcGregor/...,1996 , 英国 ,8.5,不可猜的青春迷笛。 
魂断蓝桥,导演:MervynLeRoy   主演:VivienLeigh/RobertTaylor/LucileWatson,1940 , 美国 ,8.8,中国式内在的美国电影。
傲慢与偏见,导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...,2005 , 法国 英国 美国 ,8.4,爱是摈弃傲慢与偏见之后的曙光。
穿越时空的少女,导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya...,2006 , 日本 ,8.6,爱上未来的你。 
教父3,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...,1990 , 美国 ,8.8,任何信念的力量，都无法改变命运。
完美的世界,导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...,1993 , 美国 ,9.0,坏人的好总是比好人的好来得更感人。
7号房的礼物,导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...,2013 , 韩国 ,8.7,《我是山姆》的《美丽人生》。
雨中曲,导演:StanleyDonen/GeneKelly   主演:GeneKelly/DonaldO'Connor/...,1952 , 美国 ,8.9,骨灰级歌舞片。
纵横四海,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...,1991 , 香港 ,8.7,香港浪漫主义警匪动作片的巅峰之作。
萤火之森,导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...,2011 , 日本 ,8.7,触不到的恋人。
海边的曼彻斯特,导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle...,2016 , 美国 ,8.6,我们都有权利不与自己的过去和解。
哈利·波特与死亡圣器(下),导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...,2011 , 美国 英国 ,8.6,10年的完美句点。
玩具总动员3,导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...,2010 , 美国 ,8.8,跨度十五年的欢乐与泪水。
花样年华,导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...,2000 , 香港 法国 ,8.5,偷情本没有这样美。
荒蛮故事,导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío...,2014 , 阿根廷 西班牙 ,8.8,始于荒诞，止于更荒诞。
小森林 冬春篇,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...,2015 , 日本 ,8.9,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
我是山姆,导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...,2001 , 美国 ,8.8,爱并不需要智商 。
二十二,导演:郭柯KeGuo   主演:,2015 , 中国大陆 ,8.8,有一些东西不应该被遗忘。
