shortName,fullName,city,companySize,positionName,education,workYear,jobNature,salary,formatCreateTime,address,description
码隆科技,深圳码隆科技有限公司,北京,50-150人,高级Python工程师,不限,3-5年,全职,25k-40k,2018-02-11,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄," 技术大牛集聚 扁平管理 五险一金 领导好"
摩尔妈妈,北京摩尔妈咪网络科技有限公司,北京,15-50人,高级Python工程师,本科,3-5年,全职,25k-50k,2018-02-09,14号线东段_东风北桥;14号线东段_枣营," 年底双薪 股票期权 定期体检 带薪年假"
凤凰网,凤凰飞扬（北京）新媒体信息技术有限公司,北京,2000人以上,Python工程师-北京-01084,本科,3-5年,全职,15k-25k,2018-01-30,15号线_望京东," 免费班车 八险一金 各色型男 过节大礼包"
钱方好近,北京钱方银通科技有限公司,北京,150-500人,Python开发工程师,本科,3-5年,全职,25k-30k,2018-02-12,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京," 节日礼物 带薪年假 绩效奖金 年度旅游"
朗播网,北京博智天下信息技术有限公司,北京,150-500人,Python开发工程师,本科,1-3年,全职,20k-40k,2018-02-12,13号线_上地," 扁平管理 定期体检 股票期权 团建活动"
CastBox,克鲁（北京）网络科技有限公司,北京,15-50人,Python后端开发工程师,本科,3-5年,全职,20k-40k,2018-02-13,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京," 股票期权 弹性工作 六险一金 免费按摩"
柔持英语,柔持（北京）科技有限公司,北京,150-500人,Python后端开发工程师,本科,1-3年,全职,20k-30k,2018-02-11,14号线东段_阜通;14号线东段_望京南," 交通补助 午餐补助 绩效奖金"
新东方教育行业研究院,北京点石经纬科技有限公司,北京,150-500人,Python工程师,本科,3-5年,全职,15k-25k,2018-02-08,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄," 五险一金 带薪年假 节日礼物 年度旅游"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,Python软件开发工程师,本科,3-5年,全职,15k-25k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,Python工程师（锁屏画报）,本科,3-5年,全职,20k-35k,2018-02-08,13号线_上地," 快速成长 免费班车 扁平管理 技能培训"
码隆科技,深圳码隆科技有限公司,北京,50-150人,Python开发工程师（北京）,不限,3-5年,全职,15k-25k,2018-02-11,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄," 技术大牛集聚 扁平管理 五险一金 领导好"
LBE 科技,永杨安风（北京）科技有限公司,北京,50-150人,资深Python工程师,本科,3-5年,全职,35k-45k,2018-01-31,1号线_四惠东;八通线_四惠东;八通线_高碑店," 绩效奖金 专项奖金 带薪年假 节日礼物"
东方国信,北京东方国信科技股份有限公司,北京,2000人以上,Python开发工程师,本科,5-10年,全职,18k-25k,2018-01-26,14号线东段_来广营;14号线东段_东湖渠," 大数据软件 技能培训 节日礼物 年底双薪"
新浪网,新浪网技术（中国）有限公司,北京,2000人以上,Python开发工程师,本科,1-3年,全职,13k-26k,2018-02-09,16号线_马连洼," 免费班车 岗位晋升 五险一金 定期体检"
掌阅,掌阅科技股份有限公司,北京,500-2000人,Python研发工程师,本科,1-3年,全职,18k-25k,2018-01-30,1号线_四惠东;八通线_四惠东;八通线_高碑店," 专项奖金 带薪年假 年度旅游 扁平管理"
微车,北京步鼎方舟科技有限公司,北京,150-500人,Python高级开发工程师,本科,3-5年,全职,20k-30k,2018-02-14,10号线_苏州街;10号线_长春桥;10号线_火器营,
